,duration,job,judgment,unit,wqs
12115558,34.3345679012,27,261,261,0.484692159716
12656479,23.5,1,10,10,0.277645846174
12667324,64.3,1,10,10,0.668611662128
13093803,158.0,1,1,1,0.00601080383398
13095205,60.8847222222,34,315,315,0.472504028082
13300986,44.9109126984,40,374,374,0.529992899865
13581319,19.0488888889,5,40,40,0.224080415534
13621328,147.3,2,11,11,0.617824457386
14094962,284.133333333,3,30,30,0.556143353606
14386965,51.8394444444,5,35,35,0.220085022033
14466721,63.35,2,12,12,0.715530351793
14533189,96.8,2,13,13,0.44190136
14723284,25.5,2,20,20,0.74469797571
14848125,44.725,4,31,31,0.572479099885
14861092,26.7428571429,7,54,54,0.591822067601
15117831,25.013997114,22,185,185,0.593818877991
15287417,26.5137426901,19,172,172,0.380819389918
15577915,20.2357568027,28,213,213,0.36348066069
15679569,225.8,4,30,30,0.558578459288
15742641,48.3,1,10,10,3.97917285096e-06
15871675,32.9442680776,27,266,266,0.507420825566
16465220,35.0259259259,36,322,322,0.451252132259
16654434,69.0416666667,4,8,8,2.01529906423e-05
16717147,25.8400326797,17,143,143,0.236430824904
16844474,113.5,2,11,11,0.638650558265
16854635,71.0976744186,43,430,430,0.561593075079
17950689,116.248567557,41,371,371,0.169354867762
18050262,40.2,2,20,20,0.637364363716
18137958,297.833333333,2,4,4,0.182500512243
18215885,79.6241522367,44,411,411,0.648045001748
18531561,79.4255555556,45,438,438,0.62597629457
18611009,66.1,1,10,10,0.24867645512
18666417,74.8186170213,47,457,457,0.461130032987
18672993,207.659068627,34,293,293,0.426381742515
18881135,82.0988095238,37,311,311,0.447065457709
18956279,125.666666667,1,3,3,0.495713161127
18960682,32.1166666667,40,316,316,0.615146275153
18969291,39.1537698413,24,125,125,0.543867030299
18972023,100.94,5,43,43,0.465269074924
18979155,423.333333333,1,3,3,0.718797686901
19162475,7.5,1,2,2,0.0
19294877,69.6,5,46,46,0.559649549842
19302668,38.912962963,18,168,168,0.275874082002
19543823,42.8,1,10,10,0.791710407447
19638651,27.512037037,36,237,237,0.59089397008
19740138,79.45,2,12,12,0.510320582037
19913374,17.7654761905,14,110,110,0.34909313112
19947926,94.625,2,14,14,0.690469964823
20057149,72.5178571429,2,11,11,0.499114660079
20270833,34.5,2,20,20,0.385209401896
20306047,46.2836734694,49,458,458,0.644046812975
20312760,30.1083333333,28,266,266,0.503794977885
20398835,45.0666666667,12,115,115,0.424901393308
20415133,27.0,1,1,1,0.0
20430407,36.0423558897,19,127,127,0.595929706143
20512953,48.4878787879,44,432,432,0.566700187995
20845955,29.5,3,21,21,0.583357646568
20929875,181.885795455,44,436,436,0.585220562262
21017840,30.9111111111,3,26,26,0.35245114206
21088425,57.775,4,23,23,0.618248851403
21122768,64.1,1,10,10,0.519736717965
21418130,88.1,1,10,10,0.476801053983
21457135,50.1666666667,1,6,6,0.535069875195
21490235,96.5791071429,40,379,379,0.588921238864
21524451,58.1878787879,11,93,93,0.60764939233
21579617,81.1666666667,3,25,25,0.512270718435
21665495,19.3198412698,33,234,234,0.473053560182
21678835,91.0,1,1,1,0.797822214456
21832799,35.2765873016,8,54,54,0.505837235986
21865639,84.235,10,94,94,0.609144928062
21875134,288.617346939,49,488,488,0.638108901603
21963184,50.5444444444,18,154,154,0.584017056093
22124254,51.4444444444,12,82,82,0.598132832062
22222103,29.9444444444,2,17,17,0.591406784803
22251483,394.5,1,4,4,0.761290865216
22345789,119.588888889,3,26,26,0.357681449823
22387641,108.466666667,3,21,21,0.612107358609
22389656,51.8291666667,4,22,22,0.528610673229
22438562,46.1,1,10,10,0.737850090192
22984878,31.3194139194,13,100,100,0.355373900193
23017572,87.8873376623,44,432,432,0.54029675326
23144069,48.6018518519,3,19,19,0.693979671946
23287154,51.8,2,20,20,0.601612302047
23503585,116.501556777,13,105,105,0.464417438704
23585686,73.9,1,10,10,0.576229425038
23854490,95.525,4,17,17,0.482810329604
23930372,47.35,3,18,18,0.460125537591
24043308,124.09047619,21,189,189,0.503647760227
24369927,63.0,1,10,10,0.728899919905
24403612,31.4902597403,33,232,232,0.55899225341
24460114,75.6754497354,15,141,141,0.013677001624
24593639,261.75,1,4,4,0.716059108487
24636399,117.0,1,3,3,0.840674942787
24696098,41.21875,16,160,160,0.266902245132
24835873,25.670751634,34,306,306,0.427035250804
25257275,40.65,4,28,28,0.580481802742
25295869,156.25,1,4,4,0.107840139281
25358609,47.1933333333,15,150,150,0.637758484226
25486037,71.4676069703,46,408,408,0.592167771358
26318060,40.5,1,10,10,0.566351458493
26492726,25.4828571429,15,130,130,0.510246280936
26531841,62.4461538462,13,121,121,0.607580951282
26649250,71.8666666667,3,16,16,0.269326433513
26770238,57.0,1,9,9,0.296023238738
27238250,65.0666666667,3,21,21,0.696156886616
27753923,10.0,1,2,2,0.413836703731
27770607,32.7206232493,34,319,319,0.599302217516
27799967,28.2911111111,15,130,130,0.469197333984
27836433,71.0833333333,8,65,65,0.604618044387
27934334,46.1566666667,50,491,491,0.627100521126
28081782,42.4,1,5,5,0.146146436794
28103910,57.1,1,10,10,0.649427073322
28301350,30.5214285714,4,32,32,0.636165006948
28351359,26.1085106383,47,456,456,0.592755578886
28375976,91.0,1,1,1,0.836245100837
28457001,56.2222222222,1,9,9,0.623302918262
28503763,174.748924731,31,247,247,0.624135953835
28513847,58.7,4,32,32,0.532383608432
28524232,66.0,1,3,3,0.867931067391
28709211,208.0,1,3,3,0.378347057661
28774264,32.56,5,43,43,0.568521827104
28794143,82.9711111111,5,44,44,0.449686592753
28961801,134.7,3,15,15,0.526877821017
29275930,117.24297235,31,262,262,0.4678421883
29320202,69.8,1,10,10,0.410460191039
29363385,84.0,2,20,20,0.213295523203
29411108,38.9250677507,41,389,389,0.634333153731
29738307,60.2380952381,2,10,10,0.370074908421
29768955,42.7611111111,6,37,37,0.589214210641
29849805,111.5,2,5,5,0.44212886265
29910179,78.0214285714,2,17,17,0.468510342769
30264033,24.5666666667,2,19,19,0.578197357714
30312592,59.6465659341,26,238,238,0.468649612293
30321275,50.1,7,61,61,0.289588978276
30398579,36.0,1,10,10,0.790112014318
30475714,77.6,1,5,5,0.120236360493
30504276,69.1267857143,24,218,218,0.474078496368
30546513,60.9916666667,4,27,27,0.592037024301
30586739,51.7,1,10,10,0.778674466311
